Stats {attempts = 0, rejected = 14990}
Stats {attempts = 0, rejected = 15213}
Stats {attempts = 0, rejected = 5127}
Stats {attempts = 0, rejected = 14641}
Stats {attempts = 0, rejected = 10193}
Stats {attempts = 0, rejected = 10885}
Stats {attempts = 0, rejected = 16614}
Stats {attempts = 0, rejected = 3746}
Stats {attempts = 0, rejected = 3580}
Stats {attempts = 0, rejected = 11836}
Stats {attempts = 0, rejected = 15067}
Stats {attempts = 0, rejected = 9569}
Stats {attempts = 0, rejected = 5136}
Stats {attempts = 0, rejected = 10035}
Stats {attempts = 0, rejected = 8564}
Stats {attempts = 0, rejected = 9155}
Stats {attempts = 0, rejected = 24496}
Stats {attempts = 0, rejected = 22529}
Stats {attempts = 0, rejected = 27480}
Stats {attempts = 0, rejected = 15320}
Stats {attempts = 0, rejected = 12572}
Stats {attempts = 0, rejected = 19203}
Stats {attempts = 0, rejected = 6676}
Stats {attempts = 0, rejected = 7668}
Stats {attempts = 0, rejected = 18789}
Stats {attempts = 0, rejected = 17393}
Stats {attempts = 0, rejected = 13112}
Stats {attempts = 0, rejected = 6414}
Stats {attempts = 0, rejected = 13508}
Stats {attempts = 0, rejected = 23727}
Stats {attempts = 0, rejected = 15412}
Stats {attempts = 0, rejected = 8357}
Stats {attempts = 0, rejected = 28439}
Stats {attempts = 0, rejected = 23112}
Stats {attempts = 0, rejected = 13199}
Stats {attempts = 0, rejected = 5585}
Stats {attempts = 0, rejected = 7676}
Stats {attempts = 0, rejected = 12826}
Stats {attempts = 0, rejected = 12498}
Stats {attempts = 0, rejected = 8563}
Stats {attempts = 0, rejected = 18642}
Stats {attempts = 0, rejected = 4319}
Stats {attempts = 0, rejected = 17497}
Stats {attempts = 0, rejected = 12542}
Stats {attempts = 0, rejected = 7638}
Stats {attempts = 0, rejected = 11805}
Stats {attempts = 0, rejected = 5665}
Stats {attempts = 0, rejected = 14611}
Stats {attempts = 0, rejected = 23233}
Stats {attempts = 0, rejected = 7021}
Stats {attempts = 0, rejected = 6907}
Stats {attempts = 0, rejected = 10903}
Stats {attempts = 0, rejected = 4865}
Stats {attempts = 0, rejected = 11519}
Stats {attempts = 0, rejected = 10748}
Stats {attempts = 0, rejected = 16074}
Stats {attempts = 0, rejected = 21381}
Stats {attempts = 0, rejected = 9022}
Stats {attempts = 0, rejected = 23616}
Stats {attempts = 0, rejected = 7924}
Stats {attempts = 0, rejected = 17639}
Stats {attempts = 0, rejected = 10591}
Stats {attempts = 0, rejected = 5917}
Stats {attempts = 0, rejected = 6836}
Stats {attempts = 0, rejected = 14870}
Stats {attempts = 0, rejected = 23223}
Stats {attempts = 0, rejected = 5140}
Stats {attempts = 0, rejected = 20781}
Stats {attempts = 0, rejected = 9098}
Stats {attempts = 0, rejected = 6669}
Stats {attempts = 0, rejected = 12408}
Stats {attempts = 0, rejected = 5788}
Stats {attempts = 0, rejected = 19191}
Stats {attempts = 0, rejected = 10413}
Stats {attempts = 0, rejected = 5025}
Stats {attempts = 0, rejected = 8139}
Stats {attempts = 0, rejected = 14474}
Stats {attempts = 0, rejected = 14526}
Stats {attempts = 0, rejected = 19237}
Stats {attempts = 0, rejected = 7257}
Stats {attempts = 0, rejected = 10767}
Stats {attempts = 0, rejected = 13328}
Stats {attempts = 0, rejected = 3387}
Stats {attempts = 0, rejected = 14650}
Stats {attempts = 0, rejected = 22062}
Stats {attempts = 0, rejected = 6763}
Stats {attempts = 0, rejected = 9764}
Stats {attempts = 0, rejected = 11691}
Stats {attempts = 0, rejected = 8807}
Stats {attempts = 0, rejected = 18106}
Stats {attempts = 0, rejected = 39884}
Stats {attempts = 0, rejected = 18580}
Stats {attempts = 0, rejected = 4603}
Stats {attempts = 0, rejected = 9587}
Stats {attempts = 0, rejected = 9562}
Stats {attempts = 0, rejected = 17975}
Stats {attempts = 0, rejected = 13785}
Stats {attempts = 0, rejected = 8323}
Stats {attempts = 0, rejected = 10581}
Stats {attempts = 0, rejected = 6973}
Stats {attempts = 0, rejected = 28033}
Stats {attempts = 0, rejected = 19534}
Stats {attempts = 0, rejected = 3183}
Stats {attempts = 0, rejected = 28325}
Stats {attempts = 0, rejected = 19142}
Stats {attempts = 0, rejected = 9690}
Stats {attempts = 0, rejected = 5944}
Stats {attempts = 0, rejected = 10084}
Stats {attempts = 0, rejected = 6302}
Stats {attempts = 0, rejected = 5994}
Stats {attempts = 0, rejected = 7367}
Stats {attempts = 0, rejected = 8704}
Stats {attempts = 0, rejected = 21009}
Stats {attempts = 0, rejected = 7111}
Stats {attempts = 0, rejected = 5808}
Stats {attempts = 0, rejected = 18048}
Stats {attempts = 0, rejected = 34423}
Stats {attempts = 0, rejected = 15084}
Stats {attempts = 0, rejected = 12386}
Stats {attempts = 0, rejected = 18787}
Stats {attempts = 0, rejected = 11834}
